C05D2.5	AT Hook x2
T24B8.6	bHLH
T26C11.6	HD - CUT
T26C11.7	HD - CUT
T28F12.2	HD - TALE
W10D5.3	ZF - MIZ
Y113G7A.6	HD - PRD
Y11D7A.12	ZF - FLYWCH
Y38E10A.6	HD - POU - 10 domains
Y47D3A.6	ZF - C2H2 - 5 fingers
Y47D3B.9	ZF - BED x2
Y47G6A.7	ZF - C2H2 - 1 finger
Y66A7A.8	T-box
Y73F8A.21	ZF - NHR
Y82E9BR.17	ZF - C2H2 - 1 finger
ZK593.4	ARID/BRIGHT
ZK829.5	T-box
C01G8.9	ARID/BRIGHT
H20J04.2	AT Hook
T11A5.1	AT Hook
T12D8.1	AT Hook
F15E6.1	AT Hook x1
C38D4.3	AT Hook x2
Y18D10A.1	AT Hook x2
ZK662.4	"AT Hook x2, ZF - THAP"
C28C12.8	bHLH
F38C2.8	bHLH
Y54G2A.1	bHLH
W02H5.7	bZIP
ZC8.4	bZIP
F23B12.7	CBF
Y48G8AR.1	CP2 
C34C6.8	HD
F34D6.2	HD
F45C12.3	HD
F59H6.6	HD
C40D2.4	HD
C50H2.6	HD - NK
D1081.2	MADS box
T04D1.4	MYB
C14B9.6	MYB - 2 domains
F52B5.5	p53
C36C9.2	T-box
T26C11.1	T-box
ZK177.10	T-box
F47A4.2	TRAP230 family
C50A2.4	WH - ETS
Y102A5C.18	WH - TDP
C25D7.3	ZF - C2H2
C08B11.3	"ZF - C2H2 - 2 fingers, ARID/BRIGHT"
F54C4.3	"ZF - C2H2 - 3 fingers, AT Hook"
C04F5.5	ZF - C2H2 - 1 finger
C37A2.5	ZF - C2H2 - 1 finger
F44D12.10	ZF - C2H2 - 1 finger
F45C12.1	ZF - C2H2 - 1 finger
K10G6.3	ZF - C2H2 - 1 finger
T06G6.5	ZF - C2H2 - 1 finger
T08G5.7	ZF - C2H2 - 1 finger
T10G3.5	ZF - C2H2 - 1 finger
W04B5.2	ZF - C2H2 - 1 finger
Y53F4B.5	ZF - C2H2 - 1 finger
Y54G2A.20	ZF - C2H2 - 1 finger
C09H6.1	ZF - C2H2 - 14 fingers
C03B8.4	ZF - C2H2 - 15 fingers
C08G9.2	ZF - C2H2 - 2 fingers
K09H9.7	ZF - C2H2 - 2 fingers
R10E4.11	ZF - C2H2 - 2 fingers
Y71A12B.8	ZF - C2H2 - 2 fingers
F47E1.3	ZF - C2H2 - 3 fingers
K11D2.4	ZF - C2H2 - 3 fingers
Y73F8A.33	ZF - C2H2 - 3 fingers
H16D19.3	ZF - C2H2 - 4 fingers
Y55F3AM.7	ZF - C2H2 - 1 finger
K02H8.1	ZF - CCCH - 2 domains
T24D3.1	ZF - GATA
C04A2.3	"ZF - GATA, MYB"
ZK1067.2	ZF - NF-X1 - 2 domains
C14C6.4	ZF - NHR
C17E7.5	ZF - NHR
C29G2.5	ZF - NHR
C49D10.6	ZF - NHR
C49F5.4	ZF - NHR
C54F6.9	ZF - NHR
C56E10.1	ZF - NHR
E03H4.13	ZF - NHR
E03H4.6	ZF - NHR
F09C6.8	ZF - NHR
F13A2.8	ZF - NHR
F16H9.2	ZF - NHR
F47C10.8	ZF - NHR
F48G7.3	ZF - NHR
F55D12.4	ZF - NHR
F56H1.2	ZF - NHR
H27C11.1	ZF - NHR
R07B7.13	ZF - NHR
R07B7.16	ZF - NHR
R08H2.9	ZF - NHR
R10D12.2	ZF - NHR
R11G11.12	ZF - NHR
T07C5.2	ZF - NHR
T07C5.4	ZF - NHR
T09E11.2	ZF - NHR
T15D6.6	ZF - NHR
T24A6.11	ZF - NHR
T26E4.16	ZF - NHR
T26E4.8	ZF - NHR
Y116A8C.18	ZF - NHR
Y32B12B.6	ZF - NHR
Y39B6A.47	ZF - NHR
Y69A2AR.26	ZF - NHR
Y69H2.8	ZF - NHR
Y71A12C.1	ZF - NHR
ZK1037.13	ZF - NHR
ZK218.6	ZF - NHR
ZK488.1	ZF - NHR
ZK6.1	ZF - NHR
ZK6.2	ZF - NHR
ZK678.2	ZF - NHR
T19A5.5	ZF - NHR - 2 domains
	
